prompt_id,type,source,eyes,hands,pores,text,light,camera,emotion,consistency,total,notes
S01-I1,image,S01,,,,,,,,,,
S01-I2,image,S01,,,,,,,,,,
S01-I3,image,S01,,,,,,,,,,
S01-V1,video,S01,,,,,,,,,,
S01-V2,video,S01,,,,,,,,,,
S01-V3,video,S01,,,,,,,,,,
S02-I1,image,S02,,,,,,,,,,
S02-I2,image,S02,,,,,,,,,,
S02-I3,image,S02,,,,,,,,,,
S02-V1,video,S02,,,,,,,,,,
S02-V2,video,S02,,,,,,,,,,
S02-V3,video,S02,,,,,,,,,,
S03-I1,image,S03,,,,,,,,,,
S03-I2,image,S03,,,,,,,,,,
S03-I3,image,S03,,,,,,,,,,
S03-V1,video,S03,,,,,,,,,,
S03-V2,video,S03,,,,,,,,,,
S03-V3,video,S03,,,,,,,,,,
S04-I1,image,S04,,,,,,,,,,
S04-I2,image,S04,,,,,,,,,,
S04-I3,image,S04,,,,,,,,,,
S04-V1,video,S04,,,,,,,,,,
S04-V2,video,S04,,,,,,,,,,
S04-V3,video,S04,,,,,,,,,,
S05-I1,image,S05,,,,,,,,,,
S05-I2,image,S05,,,,,,,,,,
S05-I3,image,S05,,,,,,,,,,
S05-V1,video,S05,,,,,,,,,,
S05-V2,video,S05,,,,,,,,,,
S05-V3,video,S05,,,,,,,,,,
S06-I1,image,S06,,,,,,,,,,
S06-I2,image,S06,,,,,,,,,,
S06-I3,image,S06,,,,,,,,,,
S06-V1,video,S06,,,,,,,,,,
S06-V2,video,S06,,,,,,,,,,
S06-V3,video,S06,,,,,,,,,,
S07-I1,image,S07,,,,,,,,,,
S07-I2,image,S07,,,,,,,,,,
S07-I3,image,S07,,,,,,,,,,
S07-V1,video,S07,,,,,,,,,,
S07-V2,video,S07,,,,,,,,,,
S07-V3,video,S07,,,,,,,,,,
S08-I1,image,S08,,,,,,,,,,
S08-I2,image,S08,,,,,,,,,,
S08-I3,image,S08,,,,,,,,,,
S08-V1,video,S08,,,,,,,,,,
S08-V2,video,S08,,,,,,,,,,
S08-V3,video,S08,,,,,,,,,,
S09-I1,image,S09,,,,,,,,,,
S09-I2,image,S09,,,,,,,,,,
S09-I3,image,S09,,,,,,,,,,
S09-V1,video,S09,,,,,,,,,,
S09-V2,video,S09,,,,,,,,,,
S09-V3,video,S09,,,,,,,,,,
S10-I1,image,S10,,,,,,,,,,
S10-I2,image,S10,,,,,,,,,,
S10-I3,image,S10,,,,,,,,,,
S10-V1,video,S10,,,,,,,,,,
S10-V2,video,S10,,,,,,,,,,
S10-V3,video,S10,,,,,,,,,,
